Typ,Überlappung,Anzahl,Anteil der CH-Biotope,Fläche,Anteil CH-Fläche,Anteil der CH-Biotope (Fläche)
Hochmoore (Typen I + II),Mit Überlappung,551,7.8,1567.5,0.04,1.5
Flachmoore,Mit Überlappung,1335,18.8,22501.4,0.54,22.1
Auengebiete,Mit Überlappung,326,4.6,27844.5,0.67,27.3
Amphibienlaichgebiete,Mit Überlappung,929,13.1,21670.9,0.52,21.3
Trockenwiesen und -weiden,Mit Überlappung,3951,55.7,28280.6,0.68,27.8
Biotope,Mit Überlappung,7092,100.0,101864.9,2.47,100.0
Hochmoore (Typen I + II),Ohne Überlappung,551,7.8,1567.5,0.04,1.7
Flachmoore,Ohne Überlappung,1335,18.8,22495.0,0.54,24.0
Auengebiete,Ohne Überlappung,326,4.6,26416.9,0.64,28.2
Amphibienlaichgebiete,Ohne Überlappung,929,13.1,14847.6,0.36,15.9
Trockenwiesen und -weiden,Ohne Überlappung,3951,55.7,28280.6,0.68,30.2
Biotope,Ohne Überlappung,7092,100.0,93607.6,2.27,100.0
