region,date,group,number,percentage
C_19,2024-12-31,all,735536,100.0
C_19,2024-06-30,all,731055,100.0
C_19,2023-12-31,all,727235,100.0
C_19,2023-06-30,all,720933,100.0
C_19,2022-12-31,all,713117,100.0
C_19,2022-06-30,all,708187,100.0
C_19,2021-12-31,all,703186,100.0
C_19,2021-06-30,all,698570,100.0
D_1901,2024-12-31,all,84767,100.0
D_1901,2024-06-30,all,84293,100.0
D_1901,2023-12-31,all,83843,100.0
D_1901,2023-06-30,all,82823,100.0
D_1901,2022-12-31,all,81942,100.0
D_1901,2022-06-30,all,81495,100.0
D_1901,2021-12-31,all,81241,100.0
D_1901,2021-06-30,all,80709,100.0
M_4001,2024-12-31,all,22702,100.0
M_4001,2024-06-30,all,22492,100.0
M_4001,2023-12-31,all,22306,100.0
M_4001,2023-06-30,all,22068,100.0
M_4001,2022-12-31,all,21860,100.0
M_4001,2022-06-30,all,21741,100.0
M_4001,2021-12-31,all,21784,100.0
M_4001,2021-06-30,all,21731,100.0
M_4002,2024-12-31,all,1655,100.0
M_4002,2024-06-30,all,1643,100.0
M_4002,2023-12-31,all,1644,100.0
M_4002,2023-06-30,all,1634,100.0
M_4002,2022-12-31,all,1629,100.0
M_4002,2022-06-30,all,1608,100.0
M_4002,2021-12-31,all,1615,100.0
M_4002,2021-06-30,all,1595,100.0
M_4003,2024-12-31,all,8472,100.0
M_4003,2024-06-30,all,8423,100.0
M_4003,2023-12-31,all,8409,100.0
M_4003,2023-06-30,all,8428,100.0
M_4003,2022-12-31,all,8319,100.0
M_4003,2022-06-30,all,8245,100.0
M_4003,2021-12-31,all,8258,100.0
M_4003,2021-06-30,all,8157,100.0
M_4004,2024-12-31,all,769,100.0
M_4004,2024-06-30,all,759,100.0
M_4004,2023-12-31,all,771,100.0
M_4004,2023-06-30,all,764,100.0
M_4004,2022-12-31,all,751,100.0
M_4004,2022-06-30,all,740,100.0
M_4004,2021-12-31,all,746,100.0
M_4004,2021-06-30,all,753,100.0
M_4005,2024-12-31,all,4644,100.0
M_4005,2024-06-30,all,4575,100.0
M_4005,2023-12-31,all,4566,100.0
M_4005,2023-06-30,all,4527,100.0
M_4005,2022-12-31,all,4488,100.0
M_4005,2022-06-30,all,4482,100.0
M_4005,2021-12-31,all,4475,100.0
M_4005,2021-06-30,all,4424,100.0
M_4006,2024-12-31,all,8667,100.0
M_4006,2024-06-30,all,8688,100.0
M_4006,2023-12-31,all,8636,100.0
M_4006,2023-06-30,all,8541,100.0
M_4006,2022-12-31,all,8439,100.0
M_4006,2022-06-30,all,8467,100.0
M_4006,2021-12-31,all,8381,100.0
M_4006,2021-06-30,all,8223,100.0
