code;parent_code;name_de;name_fr;name_it;name_EN;location;wikidata
1;;Alle Artengruppen;Tous les groupes d'espèces;Tutti i gruppi di specie;All species groups;Q2;x
1.1;1;Tiere;Animaux;Animali;Animals;Q2;x
1.1.1;1.1;Wirbeltiere;Vertébrés;Vertebrati;Vertebrates;Q2;x
1.1.1.1;1.1.1;Säugetiere ;Mammifères;Mammiferi;Mammals;Q2;x
1.1.1.1.1;1.1.1.1;Säugetiere (ohne Fledermäuse);Mammifères (sans Chauves-souris);Mammiferi (senza Pipistrelli);Mammals (without bats);Q2;x
1.1.1.1.2;1.1.1.1;Fledermäuse;Chauves-souris;Pipistrelli;Bats;Q2;x
1.1.1.2;1.1.1;Brutvögel;Oiseaux nicheurs;Uccelli nidificanti;Breeding birds;Q2;x
1.1.1.3;1.1.1;Reptilien;Reptiles;Rettili;Reptiles;Q2;x
1.1.1.4;1.1.1;Amphibien;Amphibiens;Anfibi;Amphibians;Q2;x
1.1.1.5;1.1.1;Fische und Rundmäuler;Poissons et Cyclostomes;Pesci e Ciclostomi;Fishes and cyclostomes;Q2;x
1.1.2;1.1;Weichtiere;Mollusques;Molluschi;Molluscs;Q2;x
1.1.2.1;1.1.2;Muscheln;Bivalves;Bivalvi;Bivalves;Q2;x
1.1.2.2;1.1.2;Schnecken;Gastéropodes;Gasteropodi;Gasteropodi;Q2;x
1.1.3;1.1;Krebstiere;Crustacés;Crostacei;Crustaceans;Q2;x
1.1.3.1;1.1.3;Zehnfusskrebse;Écrevisses;Gamberi;Crayfishes;Q2;x
1.1.4;1.1;Insekten;Insectes;Insetti;Insects;Q2;x
1.1.4.1;1.1.4;Hautflügler;Hyménoptères;Imenotteri;Hymenopterae;Q2;x
1.1.4.1.1;1.1.4.1;Bienen;Abeilles;Api;Bees;Q2;x
1.1.4.1.2;1.1.4.1;Ameisen;Fourmis;Formiche;Ants;Q2;x
1.1.4.2;1.1.4;Schmetterlinge;Papillons;Farfalle;Butterflies;Q2;x
1.1.4.2.1;1.1.4.2;Tagfalter und Widderchen;Papillons diurnes et Zygènes;Farfalle diurne  e Zigene;Diurnal Butterflies and Zigene;Q2;x
1.1.4.3;1.1.4;Köcherfliegen;Trichoptères;Tricotteri;Caddisflies;Q2;x
1.1.4.4;1.1.4;Schnaken;Tipules;Ditteri Tipulidi;Diptera Tipulids;Q2;x
1.1.4.5;1.1.4;Käfer;Coléoptères;Coleotteri;Coleopterae;Q2;x
1.1.4.5.1;1.1.4.5;Pracht-, Bock-, Rosenkäfer und Schröter;Coléoptères Buprestidés, Cérambycidés, Cétoniidés et Lucanidés;Coleotteri Buprestidi, Cerambicidi, Cetonidi e Lucanidi;Coleopterae Buprestides, Cerambicides, Cetonides, Lucanides;Q2;x
1.1.4.5.2;1.1.4.5;Laufkäfer und Sandlaufkäfer;Carabidés et Cicindèles;Carabidi e Cicindelidi;Carabidae and Cicindelinae;Q2;x
1.1.4.5.3;1.1.4.5;Wasserkäfer;Coléoptères hydradéphages;Coleotteri Adefagi acquatici;Aquatic beetles Adefagians;Q2;x
1.1.4.6;1.1.4;Netzflügler;Névroptères;Neurotteri;Neuropterans;Q2;x
1.1.4.7;1.1.4;Singzikaden;Cigales;Cicale;Cicadas;Q2;x
1.1.4.8;1.1.4;Heuschrecken;Orthoptères;Ortotteri;Ortopterans;Q2;x
1.1.4.9;1.1.4;Steinfliegen;Plécoptères;Plecotteri;Stoneflies;Q2;x
1.1.4.10;1.1.4;Libellen;Libellules, Odonates;Libellule;Dragonflies;Q2;x
1.1.4.11;1.1.4;Eintagsfliegen;Éphémères;Efemerotteri;Mayflies;Q2;x
1.2;1;Pflanzen;Plantes;Piante;Plants;Q2;x
1.2.1;1.2;Gefässpflanzen;Plantes vasculaires;Piante vascolari;Vascular plants;Q2;x
1.2.1.1;1.2.1;Blütenpflanzen;Plantes â  fleurs;Piante da fiori;Flowering plants;Q2;x
1.2.1.2;1.2.1;Farnartige Pflanzen;Fougères;Felci;Ferns;Q2;x
1.2.2;1.2;Moose;Bryophytes;Briofite;Bryophytes;Q2;x
1.2.2.1;1.2.2;Lebermoose;Hépatiques;Epatiche;Hepaticae;Q2;x
1.2.2.2;1.2.2;Laubmoose;Mousses;Muschi;Musci;Q2;x
1.2.2.3;1.2.2;Hormoose;Anthocérotes;Antocerote;Anthocerotae;Q2;x
1.2.3;1.2;Makroalgen;Macroalgues;Macroalga;Macroalgae;Q2;x
1.2.3.1;1.2.3;Armleuchteralgen;Characées;Caracee;Stoneworts;Q2;x
1.3;1;Flechten und Pilze;Lichens et champignons;Licheni e funghi;Lichens and mycetes;Q2;x
1.3.1;1.3;Flechten;Lichens;Licheni;Lichens and fungi;Q2;x
1.3.1.1;1.3.1;Baumflechten;Lichens épiphytes;Licheni epifiti;Epiphytic lichens;Q2;x
1.3.1.2;1.3.1;Bodenflechten;Lichens terricoles;Licheni terricoli;Soil lichens;Q2;x
1.3.2;1.3;Grosspilze;Champignons supérieurs;Macromiceti;Macromycetes;Q2;x
